cluster,lat,lon,월세_mean,월세_median,월세_min,월세_max,보증금_mean,보증금_median,보증금_min,보증금_max,room_count,월세,보증금,건물명,cctv_count,conv_count,noise_count,store_count,lamp_count
0,35.83947433281619,128.7534640186957,30.285714285714285,30.0,15,40,175.0,200.0,50,300,14,30.285714285714285,175.0,14,0,2,3,3,24
1,35.8408659699665,128.75385653331466,25.714285714285715,27.0,21,30,141.42857142857142,150.0,70,200,7,25.714285714285715,141.42857142857142,7,6,2,0,1,9
2,35.83814513170927,128.754746181657,24.333333333333332,20.0,20,33,133.33333333333334,100.0,100,200,3,24.333333333333332,133.33333333333334,3,2,1,14,9,16
3,35.84014433187756,128.75630662347268,30.666666666666668,30.0,27,35,200.0,200.0,200,200,3,30.666666666666668,200.0,3,1,2,0,2,17
4,35.841011964162405,128.7556917199052,32.8,32.0,31,37,180.0,200.0,150,200,5,32.8,180.0,5,0,1,0,0,18
5,35.83932914092627,128.75640555209966,35.0,35.0,32,38,200.0,200.0,200,200,3,35.0,200.0,3,2,2,1,5,12
6,35.839654737418215,128.75191786054177,28.5,25.0,24,40,125.0,100.0,100,200,4,28.5,125.0,4,7,1,0,0,10
7,35.83872060401563,128.7543367627775,29.785714285714285,29.0,22,47,150.0,150.0,100,200,14,29.785714285714285,150.0,14,2,2,16,9,23
8,35.84010833559993,128.75953646788633,30.333333333333332,28.0,27,36,233.33333333333334,200.0,200,300,3,30.333333333333332,233.33333333333334,3,0,1,0,0,0
9,35.83929447960416,128.7525600686642,28.125,28.0,25,32,131.25,100.0,100,200,8,28.125,131.25,8,3,3,3,3,28
10,35.83860235549086,128.75399788388506,27.0,23.0,22,36,133.33333333333334,100.0,100,200,3,27.0,133.33333333333334,3,3,2,24,9,36
11,35.841357362904766,128.75172087066534,22.666666666666668,22.0,21,25,90.0,100.0,70,100,3,22.666666666666668,90.0,3,6,1,0,0,24
12,35.840836643026826,128.756627091826,30.25,31.0,26,33,187.5,200.0,150,200,4,30.25,187.5,4,0,1,0,0,10
13,35.8383225799685,128.75789286099533,28.666666666666668,29.0,27,30,166.66666666666666,150.0,150,200,3,28.666666666666668,166.66666666666666,3,5,1,0,1,28
14,35.840541730199625,128.75346866331648,30.25,31.5,23,35,187.5,175.0,100,300,4,30.25,187.5,4,7,2,0,1,16
15,35.83809451481052,128.7529514148695,27.75,29.0,20,35,175.0,200.0,100,200,8,27.75,175.0,8,2,2,24,9,33
16,35.83885537433352,128.75470870687906,25.75,29.0,15,30,1637.5,200.0,150,6000,4,25.75,1637.5,4,2,0,8,4,24
17,35.83963893778738,128.7523663325675,28.75,30.0,23,32,175.0,200.0,100,200,4,28.75,175.0,4,4,2,0,0,11
